instance_exec,Array,Alex
!~,Array,Alex
reject,Array,Alex
each_with_index,Array,Alex
sort!,Array,Alex
grep,Array,Alex
singleton_methods,Array,Alex
protected_methods,Array,Alex
at,Array,Sroop
replace,Array,Sroop
<=>,Array,Sroop
clone,Array,Sroop
sort_by!,Array,Sroop
detect,Array,Sroop
find,Array,Sroop
instance_of?,Array,Sroop
to_ary,Array,Shelly
object_id,Array,Shelly
length,Array,Shelly
values_at,Array,Shelly
map!,Array,Shelly
define_singleton_method,Array,Shelly
extend,Array,Shelly
collect_concat,Array,Shelly
cycle,Array,Scott
sort,Array,Scott
taint,Array,Scott
delete_at,Array,Scott
min,Array,Scott
each_with_object,Array,Scott
instance_variable_get,Array,Scott
group_by,Array,Scott
rotate,Array,Estefania
unshift,Array,Estefania
empty?,Array,Estefania
product,Array,Estefania
singleton_class,Array,Estefania
slice,Array,Estefania
rassoc,Array,Estefania
tainted?,Array,Estefania
send,Array,Appo
size,Array,Appo
instance_variable_set,Array,Appo
collect,Array,Appo
pack,Array,Appo
untaint,Array,Appo
frozen?,Array,Appo
compact,Array,Appo
map,Array,Rob
pop,Array,Rob
!=,Array,Rob
freeze,Array,Rob
first,Array,Rob
to_s,Array,Rob
shuffle!,Array,Rob
keep_if,Array,Rob
+,Array,Nico
public_send,Array,Nico
methods,Array,Nico
instance_variable_defined?,Array,Nico
count,Array,Nico
push,Array,Nico
rindex,Array,Nico
private_methods,Array,Nico
any?,Array,Dan
inject,Array,Dan
flat_map,Array,Dan
assoc,Array,Dan
is_a?,Array,Dan
equal?,Array,Dan
drop_while,Array,Dan
member?,Array,Dan
transpose,Array,Robin
flatten!,Array,Robin
reverse,Array,Robin
clear,Array,Robin
select!,Array,Robin
public_method,Array,Robin
tap,Array,Robin
[],Array,Robin
nil?,Array,Josh
instance_variables,Array,Josh
reject!,Array,Josh
each_index,Array,Josh
hash,Array,Josh
eql?,Array,Josh
display,Array,Josh
each_slice,Array,Josh
permutation,Array,Louise
untrusted?,Array,Louise
chunk,Array,Louise
method,Array,Louise
take_while,Array,Louise
reverse_each,Array,Louise
<<,Array,Louise
max_by,Array,Louise
=~,Array,Muhanad
fill,Array,Muhanad
each_cons,Array,Muhanad
zip,Array,Muhanad
min_by,Array,Muhanad
each_entry,Array,Muhanad
dup,Array,Muhanad
to_enum,Array,Muhanad
reduce,Array,Will
minmax_by,Array,Will
shuffle,Array,Will
partition,Array,Will
rotate!,Array,Will
class,Array,Will
[]=,Array,Will
each,Array,Will
to_csv,Array,Oli
kind_of?,Array,Oli
instance_eval,Array,Oli
entries,Array,Oli
uniq,Array,Oli
reverse!,Array,Oli
slice!,Array,Oli
select,Array,Oli
enum_for,Array,Emma
max,Array,Emma
all?,Array,Emma
|,Array,Emma
===,Array,Emma
sample,Array,Emma
concat,Array,Emma
